coursecode,regulation,subjectcode,subjectname,status
BTECH-HBS,R16,BTECH-HBS-R16-1-2-16,Electrical Circuit Analysis,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-17,English communication lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-18,Applied Physics lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-19,IT lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-20,EWS lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-21,ENGLISH,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-22,Mathematics-III,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-23,Mathematics-II,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-24,Eng.Physics,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-25,Eng.Drawing,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-26,Basic Electrical and Electronics,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-27,English communication lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-28,Engg.Physics lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-29,IT lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-30,EWS lab,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-31,ENGLISH,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-32,Mathematics-III,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-33,Applied Chemistry,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-34,ENVIRONMENTAL STUDIES,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-35,DATA STRUCTURES,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-36,ELECTRICAL AND MECHANICAL TECHNOLOGY,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-37,ENGLISH COMMUNICATION LAB,0
BTECH-HBS,R16,BTECH-HBS-R16-1-2-38,APPLIED CHEMISTRY LAB,0
